"e","# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","1612829774016","main.py",""
"k"," ","","60","1612829952110","task1.txt",""
"k","t","","61","1612829952411","task1.txt",""
"k","a","","62","1612829952485","task1.txt",""
"k","k","","63","1612829952593","task1.txt",""
"k","i","","64","1612829952765","task1.txt",""
"k","n","","65","1612829952835","task1.txt",""
"k","g","","66","1612829952903","task1.txt",""
"k"," ","","67","1612829952995","task1.txt",""
"k","l","","68","1612829953354","task1.txt",""
"k","e","","69","1612829953432","task1.txt",""
"k","n","","70","1612829954398","task1.txt",""
"k","(","","71","1612829955123","task1.txt",""
"k",")","","72","1612829955386","task1.txt",""
"k"," ","","73","1612829955769","task1.txt",""
"k","o","","74","1612829957102","task1.txt",""
"k","f","","75","1612829957170","task1.txt",""
"k"," ","","76","1612829957246","task1.txt",""
"k","r","","77","1612829963900","task1.txt",""
"k","o","","78","1612829963979","task1.txt",""
"k","w","","79","1612829964063","task1.txt",""
"k","s","","80","1612829964258","task1.txt",""
"k",",","","81","1612829966781","task1.txt",""
"k"," ","","82","1612829966938","task1.txt",""
"k","a","","83","1612829967144","task1.txt",""
"k","d","","84","1612829967289","task1.txt",""
"k","d","","85","1612829967490","task1.txt",""
"k"," ","","86","1612829969273","task1.txt",""
"k","r","","87","1612829969544","task1.txt",""
"k","o","","88","1612829969650","task1.txt",""
"k","w","","89","1612829969743","task1.txt",""
"k","s","","90","1612829969928","task1.txt",""
"k","-","","91","1612829970962","task1.txt",""
"k","1","","92","1612829970993","task1.txt",""
"k"," ","","93","1612829971345","task1.txt",""
"k","t","","94","1612829971711","task1.txt",""
"k","o","","95","1612829971779","task1.txt",""
"k"," ","","96","1612829971925","task1.txt",""
"k","c","","97","1612829972269","task1.txt",""
"k","o","","98","1612829972348","task1.txt",""
"k","u","","99","1612829972429","task1.txt",""
"k","n","","100","1612829972592","task1.txt",""
"k","t","","101","1612829972664","task1.txt",""
"k"," ","","102","1612829972749","task1.txt",""
"k","f","","103","1612829972900","task1.txt",""
"k","o","","104","1612829972995","task1.txt",""
"k","r","","105","1612829973082","task1.txt",""
"k"," ","","106","1612829973141","task1.txt",""
"k","s","","107","1612829973293","task1.txt",""
"k","a","","108","1612829973372","task1.txt",""
"k","p","","109","1612829973494","task1.txt",""
"k","c","","110","1612829973641","task1.txt",""
"k","e","","111","1612829973747","task1.txt",""
"k","s","","112","1612829973827","task1.txt",""
"a","Backspace","","","1612829974062","task1.txt",""
"a","Backspace","","","1612829974236","task1.txt",""
"a","Backspace","","","1612829974411","task1.txt",""
"a","Backspace","","","1612829974571","task1.txt",""
"a","Backspace","","","1612829974712","task1.txt",""
"k","p","","108","1612829975246","task1.txt",""
"k","a","","109","1612829975277","task1.txt",""
"k","c","","110","1612829975432","task1.txt",""
"k","e","","111","1612829975685","task1.txt",""
"k","s","","112","1612829975758","task1.txt",""
"a","Backspace","","","1612829979825","task1.txt",""
"a","Backspace","","","1612829979975","task1.txt",""
"a","Backspace","","","1612829980151","task1.txt",""
"a","Backspace","","","1612829980313","task1.txt",""
"a","Backspace","","","1612829980631","task1.txt",""
"k","l","","97","1612829981272","task1.txt",""
"k","e","","98","1612829981381","task1.txt",""
"k","n","","99","1612829981487","task1.txt",""
"k","g","","100","1612829981622","task1.txt",""
"k","t","","101","1612829981824","task1.txt",""
"k","h","","102","1612829981916","task1.txt",""
"k"," ","","81","1612829990190","task1.txt",""
"k","*","","82","1612829992148","task1.txt",""
"k"," ","","83","1612829992606","task1.txt",""
"k","r","","84","1612829993119","task1.txt",""
"k","o","","85","1612829993182","task1.txt",""
"k","w","","86","1612829993330","task1.txt",""
"k","s","","87","1612829993679","task1.txt",""
"a","Enter","","","1612830002459","task1.txt",""
"a","Tab","","","1612830003557","task1.txt",""
"k","p","","169","1612830004612","task1.txt",""
"k","r","","170","1612830004719","task1.txt",""
"k","i","","171","1612830009344","task1.txt",""
"k","n","","172","1612830009428","task1.txt",""
"k","t","","173","1612830009467","task1.txt",""
"a","Backspace","","","1612830038750","task1.txt",""
"a","Backspace","","","1612830038915","task1.txt",""
"a","Backspace","","","1612830039089","task1.txt",""
"a","Backspace","","","1612830039254","task1.txt",""
"a","Backspace","","","1612830039451","task1.txt",""
"k","f","","169","1612830040102","task1.txt",""
"k","o","","170","1612830040229","task1.txt",""
"k","r","","171","1612830040325","task1.txt",""
"k"," ","","172","1612830040402","task1.txt",""
"k","j","","173","1612830040897","task1.txt",""
"k"," ","","174","1612830040972","task1.txt",""
"k","i","","175","1612830041255","task1.txt",""
"k","n","","176","1612830041336","task1.txt",""
"k"," ","","177","1612830041372","task1.txt",""
"k","r","","178","1612830041519","task1.txt",""
"k","a","","179","1612830041573","task1.txt",""
"k","n","","180","1612830041673","task1.txt",""
"k","g","","181","1612830041889","task1.txt",""
"k","e","","182","1612830041980","task1.txt",""
"k"," ","","183","1612830042805","task1.txt",""
"k","1","","184","1612830043865","task1.txt",""
"k",",","","185","1612830043927","task1.txt",""
"a","Backspace","","","1612830044485","task1.txt",""
"a","Backspace","","","1612830044652","task1.txt",""
"a","Backspace","","","1612830044836","task1.txt",""
"k"," ","","183","1612830045295","task1.txt",""
"k","(","","184","1612830045578","task1.txt",""
"k","1","","185","1612830045756","task1.txt",""
"k",",","","186","1612830045898","task1.txt",""
"k","i","","187","1612830046995","task1.txt",""
"k",")","","188","1612830047745","task1.txt",""
"a","Enter","","","1612830048515","task1.txt",""
"a","Tab","","","1612830048620","task1.txt",""
"k","p","","198","1612830056308","task1.txt",""
"k","r","","199","1612830056502","task1.txt",""
"k","i","","200","1612830056792","task1.txt",""
"k","n","","201","1612830056837","task1.txt",""
"k","t","","202","1612830056913","task1.txt",""
"a","Backspace","","","1612830069864","task1.txt",""
"a","Backspace","","","1612830070044","task1.txt",""
"a","Backspace","","","1612830070252","task1.txt",""
"a","Backspace","","","1612830070500","task1.txt",""
"a","Backspace","","","1612830070834","task1.txt",""
"a","Enter","","","1612830073778","task1.txt",""
"a","Tab","","","1612830074633","task1.txt",""
"k","m","","169","1612830075006","task1.txt",""
"k","e","","170","1612830075119","task1.txt",""
"k","s","","171","1612830075214","task1.txt",""
"k","s","","172","1612830075850","task1.txt",""
"k","a","","173","1612830076210","task1.txt",""
"k","g","","174","1612830076378","task1.txt",""
"k","e","","175","1612830076498","task1.txt",""
"k"," ","","176","1612830077240","task1.txt",""
"k","=","","177","1612830078114","task1.txt",""
"k"," ","","178","1612830078965","task1.txt",""
"k","""","","179","1612830079686","task1.txt",""
"k","p","","215","1612830099665","task1.txt",""
"k","r","","216","1612830099745","task1.txt",""
"k","i","","217","1612830099855","task1.txt",""
"k","n","","218","1612830099905","task1.txt",""
"k","t","","219","1612830099973","task1.txt",""
"k"," ","","220","1612830100038","task1.txt",""
"a","Backspace","","","1612830101269","task1.txt",""
"a","Backspace","","","1612830101427","task1.txt",""
"a","Backspace","","","1612830101601","task1.txt",""
"a","Backspace","","","1612830101792","task1.txt",""
"a","Backspace","","","1612830101968","task1.txt",""
"a","Backspace","","","1612830102376","task1.txt",""
"a","Up","","","1612830104139","task1.txt",""
"a","Up","","","1612830104438","task1.txt",""
"a","Left","","","1612830104660","task1.txt",""
"a","Left","","","1612830104833","task1.txt",""
"a","Backspace","","","1612830105477","task1.txt",""
"a","Right","","","1612830105951","task1.txt",""
"a","Right","","","1612830106127","task1.txt",""
"a","Right","","","1612830106321","task1.txt",""
"a","Right","","","1612830106516","task1.txt",""
"a","Left","","","1612830106807","task1.txt",""
"a","Backspace","","","1612830107153","task1.txt",""
"a","Backspace","","","1612830107327","task1.txt",""
"a","Right","","","1612830107750","task1.txt",""
"a","Right","","","1612830107941","task1.txt",""
"a","Backspace","","","1612830108281","task1.txt",""
"a","Up","","","1612830140239","task1.txt",""
"a","Right","","","1612830140526","task1.txt",""
"a","Right","","","1612830146256","task1.txt",""
"a","Up","","","1612830146629","task1.txt",""
"a","Right","","","1612830146956","task1.txt",""
"k","i","","176","1612830148868","task1.txt",""
"a","Backspace","","","1612830149548","task1.txt",""
"a","Right","","","1612830151691","task1.txt",""
"a","Backspace","","","1612830152669","task1.txt",""
"a","Backspace","","","1612830152974","task1.txt",""
"k","s","","175","1612830154949","task1.txt",""
"k","t","","176","1612830155082","task1.txt",""
"k","r","","177","1612830155202","task1.txt",""
"k","(","","178","1612830156074","task1.txt",""
"k","i","","179","1612830156313","task1.txt",""
"k",")","","180","1612830156597","task1.txt",""
"a","Down","","","1612830158513","task1.txt",""
"a","Right","","","1612830158693","task1.txt",""
"a","Right","","","1612830159214","task1.txt",""
"a","Right","","","1612830159245","task1.txt",""
"a","Right","","","1612830159277","task1.txt",""
"a","Right","","","1612830159306","task1.txt",""
"a","Right","","","1612830159335","task1.txt",""
"a","Right","","","1612830159367","task1.txt",""
"a","Right","","","1612830159397","task1.txt",""
"a","Down","","","1612830159816","task1.txt",""
"a","Up","","","1612830161008","task1.txt",""
"a","Right","","","1612830161133","task1.txt",""
"a","Up","","","1612830161528","task1.txt",""
"a","Left","","","1612830161582","task1.txt",""
"a","Down","","","1612830161984","task1.txt",""
"a","Right","","","1612830162295","task1.txt",""
"a","Right","","","1612830162832","task1.txt",""
"a","Right","","","1612830162859","task1.txt",""
"a","Right","","","1612830162891","task1.txt",""
"a","Right","","","1612830162922","task1.txt",""
"a","Right","","","1612830162952","task1.txt",""
"a","Left","","","1612830163263","task1.txt",""
"a","Right","","","1612830163425","task1.txt",""
"a","Right","","","1612830163620","task1.txt",""
"a","Right","","","1612830163841","task1.txt",""
"a","Backspace","","","1612830164493","task1.txt",""
"a","Backspace","","","1612830165021","task1.txt",""
"a","Backspace","","","1612830165053","task1.txt",""
"a","Backspace","","","1612830165082","task1.txt",""
"a","Backspace","","","1612830165113","task1.txt",""
"a","Backspace","","","1612830165142","task1.txt",""
"a","Backspace","","","1612830165174","task1.txt",""
"a","Backspace","","","1612830165203","task1.txt",""
"a","Backspace","","","1612830165234","task1.txt",""
"a","Backspace","","","1612830165264","task1.txt",""
"a","Backspace","","","1612830165311","task1.txt",""
"a","Backspace","","","1612830165583","task1.txt",""
"a","Backspace","","","1612830165757","task1.txt",""
"a","Backspace","","","1612830165910","task1.txt",""
"a","Backspace","","","1612830166082","task1.txt",""
"a","Backspace","","","1612830166243","task1.txt",""
"a","Backspace","","","1612830166402","task1.txt",""
"a","Backspace","","","1612830166567","task1.txt",""
"a","Backspace","","","1612830166771","task1.txt",""
"a","Backspace","","","1612830167083","task1.txt",""
"k","w","","186","1612830167529","task1.txt",""
"k","h","","187","1612830167678","task1.txt",""
"k","i","","188","1612830167714","task1.txt",""
"k","l","","189","1612830167819","task1.txt",""
"k","e","","190","1612830167898","task1.txt",""
"k"," ","","191","1612830167987","task1.txt",""
"k","j","","192","1612830168620","task1.txt",""
"k"," ","","193","1612830169140","task1.txt",""
"k",">","","194","1612830169279","task1.txt",""
"k"," ","","195","1612830169396","task1.txt",""
"k","i","","196","1612830170255","task1.txt",""
"a","Up","","","1612830180095","task1.txt",""
"a","Right","","","1612830180466","task1.txt",""
"a","Enter","","","1612830181107","task1.txt",""
"k","j","","186","1612830182008","task1.txt",""
"k"," ","","187","1612830182396","task1.txt",""
"k","=","","188","1612830182619","task1.txt",""
"k"," ","","189","1612830182697","task1.txt",""
"k","1","","190","1612830183240","task1.txt",""
"a","Down","","","1612830186559","task1.txt",""
"a","Right","","","1612830186717","task1.txt",""
"a","Right","","","1612830187248","task1.txt",""
"a","Right","","","1612830187278","task1.txt",""
"a","Right","","","1612830187310","task1.txt",""
"a","Right","","","1612830187340","task1.txt",""
"a","Right","","","1612830187383","task1.txt",""
"a","Left","","","1612830187765","task1.txt",""
"a","Up","","","1612830188050","task1.txt",""
"a","Down","","","1612830193096","task1.txt",""
"a","Right","","","1612830193585","task1.txt",""
"a","Left","","","1612830194144","task1.txt",""
"a","Up","","","1612830194377","task1.txt",""
"a","Backspace","","","1612830195086","task1.txt",""
"a","Backspace","","","1612830195283","task1.txt",""
"a","Backspace","","","1612830195479","task1.txt",""
"a","Backspace","","","1612830195715","task1.txt",""
"a","Backspace","","","1612830196478","task1.txt",""
"a","Backspace","","","1612830197628","task1.txt",""
"a","Backspace","","","1612830197936","task1.txt",""
"a","Backspace","","","1612830198271","task1.txt",""
"a","Backspace","","","1612830198580","task1.txt",""
"a","Backspace","","","1612830198886","task1.txt",""
"k"," ","","181","1612830199637","task1.txt",""
"a","Backspace","","","1612830199989","task1.txt",""
"a","Backspace","","","1612830200165","task1.txt",""
"a","Backspace","","","1612830200329","task1.txt",""
"a","Backspace","","","1612830200508","task1.txt",""
"a","Backspace","","","1612830200658","task1.txt",""
"a","Backspace","","","1612830201178","task1.txt",""
"a","Backspace","","","1612830201207","task1.txt",""
"a","Backspace","","","1612830201241","task1.txt",""
"a","Backspace","","","1612830201382","task1.txt",""
"a","Backspace","","","1612830201561","task1.txt",""
"a","Backspace","","","1612830201753","task1.txt",""
"a","Backspace","","","1612830201922","task1.txt",""
"a","Backspace","","","1612830202118","task1.txt",""
"k","a","","169","1612830202403","task1.txt",""
"k","d","","170","1612830202529","task1.txt",""
"k","d","","171","1612830202704","task1.txt",""
"k"," ","","172","1612830202781","task1.txt",""
"k","t","","173","1612830202923","task1.txt",""
"k","h","","174","1612830202992","task1.txt",""
"k","e","","175","1612830203038","task1.txt",""
"k"," ","","176","1612830203142","task1.txt",""
"k","f","","177","1612830203274","task1.txt",""
"k","i","","178","1612830203382","task1.txt",""
"k","r","","179","1612830203496","task1.txt",""
"k","s","","180","1612830203581","task1.txt",""
"k","t","","181","1612830203711","task1.txt",""
"k"," ","","182","1612830206578","task1.txt",""
"k","n","","183","1612830207311","task1.txt",""
"k","u","","184","1612830207444","task1.txt",""
"k","m","","185","1612830207629","task1.txt",""
"k","b","","186","1612830207832","task1.txt",""
"k","e","","187","1612830207920","task1.txt",""
"k","r","","188","1612830208007","task1.txt",""
"k"," ","","189","1612830208031","task1.txt",""
"k","p","","190","1612830208260","task1.txt",""
"k","r","","191","1612830208373","task1.txt",""
"k","i","","192","1612830208455","task1.txt",""
"k","n","","193","1612830208508","task1.txt",""
"k","t","","194","1612830208992","task1.txt",""
"k","e","","195","1612830209119","task1.txt",""
"k","d","","196","1612830209350","task1.txt",""
"k"," ","","197","1612830209465","task1.txt",""
"k","t","","198","1612830210153","task1.txt",""
"k","o","","199","1612830210208","task1.txt",""
"k"," ","","200","1612830210253","task1.txt",""
"k","s","","201","1612830212987","task1.txt",""
"k","t","","202","1612830213123","task1.txt",""
"k","r","","203","1612830213215","task1.txt",""
"k","i","","204","1612830213384","task1.txt",""
"k","n","","205","1612830213429","task1.txt",""
"k","g","","206","1612830213526","task1.txt",""
"k"," ","","207","1612830213657","task1.txt",""
"k","c","","208","1612830214358","task1.txt",""
"k","a","","209","1612830214440","task1.txt",""
"k","l","","210","1612830214505","task1.txt",""
"k","l","","211","1612830214646","task1.txt",""
"k","e","","212","1612830214744","task1.txt",""
"k","d","","213","1612830214954","task1.txt",""
"k"," ","","214","1612830215313","task1.txt",""
"k","m","","215","1612830215713","task1.txt",""
"k","s","","216","1612830215804","task1.txt",""
"k","g","","217","1612830215876","task1.txt",""
"a","Enter","","","1612830216362","task1.txt",""
"k","i","","223","1612830217029","task1.txt",""
"k","n","","224","1612830217112","task1.txt",""
"k","i","","225","1612830217224","task1.txt",""
"k","t","","226","1612830217364","task1.txt",""
"k","l","","227","1612830217528","task1.txt",""
"k","i","","228","1612830217996","task1.txt",""
"k","z","","229","1612830218296","task1.txt",""
"k","e","","230","1612830218441","task1.txt",""
"k"," ","","231","1612830218547","task1.txt",""
"k","l","","232","1612830218912","task1.txt",""
"k","o","","233","1612830219087","task1.txt",""
"k","o","","234","1612830219231","task1.txt",""
"k","p","","235","1612830219272","task1.txt",""
"k"," ","","236","1612830219352","task1.txt",""
"k","b","","237","1612830219849","task1.txt",""
"k","y","","238","1612830219963","task1.txt",""
"k"," ","","239","1612830220026","task1.txt",""
"k","s","","240","1612830220210","task1.txt",""
"k","e","","241","1612830220326","task1.txt",""
"k","t","","242","1612830220387","task1.txt",""
"k","t","","243","1612830220558","task1.txt",""
"k","i","","244","1612830220638","task1.txt",""
"k","n","","245","1612830220691","task1.txt",""
"k","g","","246","1612830220789","task1.txt",""
"k"," ","","247","1612830221121","task1.txt",""
"k","j","","248","1612830222293","task1.txt",""
"k"," ","","249","1612830222367","task1.txt",""
"k","t","","250","1612830222917","task1.txt",""
"k","o","","251","1612830223013","task1.txt",""
"k"," ","","252","1612830223075","task1.txt",""
"k","1","","253","1612830224117","task1.txt",""
"k",",","","254","1612830225264","task1.txt",""
"k"," ","","255","1612830225418","task1.txt",""
"a","Backspace","","","1612830226679","task1.txt",""
"a","Backspace","","","1612830226838","task1.txt",""
"a","Down","","","1612830228277","task1.txt",""
"a","initialize","","","1612830232128","task1.txt",""
"a","Enter","","","1612830235782","task1.txt",""
"a","Tab","","","1612830235866","task1.txt",""
"k","a","","281","1612830254116","task1.txt",""
"k","d","","282","1612830254204","task1.txt",""
"k","d","","283","1612830254364","task1.txt",""
"k"," ","","284","1612830254507","task1.txt",""
"k","""","","285","1612830255158","task1.txt",""
"k","a","","286","1612830256044","task1.txt",""
"a","Backspace","","","1612830256628","task1.txt",""
"k"," ","","286","1612830256815","task1.txt",""
"a","Right","","","1612830258030","task1.txt",""
"k"," ","","288","1612830258454","task1.txt",""
"k","=","","289","1612830258673","task1.txt",""
"k"," ","","290","1612830258868","task1.txt",""
"a","Backspace","","","1612830259333","task1.txt",""
"a","Backspace","","","1612830259470","task1.txt",""
"k","=","","289","1612830260204","task1.txt",""
"a","Backspace","","","1612830260634","task1.txt",""
"k","+","","289","1612830260941","task1.txt",""
"k"," ","","290","1612830261560","task1.txt",""
"k","I","","291","1612830263763","task1.txt",""
"k"," ","","292","1612830267534","task1.txt",""
"k","T","","293","1612830267901","task1.txt",""
"k","O","","294","1612830267966","task1.txt",""
"k"," ","","295","1612830268007","task1.txt",""
"k","M","","296","1612830268220","task1.txt",""
"k","S","","297","1612830268304","task1.txt",""
